Date,Open,High,Low,Close,Adj Close,Volume
1990-12-17,24326.910156,24326.910156,24017.109375,24087.910156,24087.910156,0
1990-12-18,24093.880859,24424.019531,24093.880859,24424.019531,24424.019531,0
1990-12-19,24473.210938,25063.859375,24473.210938,24876.779297,24876.779297,0
1990-12-20,24853.410156,24853.410156,24515.939453,24524.939453,24524.939453,0
1990-12-21,24494.619141,24494.619141,23963.919922,24119.599609,24119.599609,0
1990-12-24,null,null,null,null,null,null
1990-12-25,24089.929688,24089.929688,23767.880859,23767.880859,23767.880859,0
1990-12-26,23784.910156,23975.630859,23695.470703,23887.560547,23887.560547,0
1990-12-27,23938.250000,24263.630859,23865.839844,23940.699219,23940.699219,0
1990-12-28,23953.519531,24055.289063,23770.720703,23848.710938,23848.710938,0
1990-12-31,null,null,null,null,null,null
1991-01-01,null,null,null,null,null,null
1991-01-02,null,null,null,null,null,null
1991-01-03,null,null,null,null,null,null
1991-01-04,23827.480469,24109.890625,23796.359375,24069.179688,24069.179688,0
1991-01-07,24036.990234,24036.990234,23735.589844,23736.570313,23736.570313,0
1991-01-08,23707.699219,23707.699219,22859.279297,22897.839844,22897.839844,0
1991-01-09,22846.759766,23098.740234,22662.490234,22969.269531,22969.269531,0
1991-01-10,22924.750000,23184.750000,22711.910156,23047.359375,23047.359375,0
1991-01-11,23077.699219,23241.019531,22855.759766,23241.019531,23241.019531,0
1991-01-14,23197.960938,23238.869141,22911.150391,23213.230469,23213.230469,0
1991-01-15,null,null,null,null,null,null
1991-01-16,23140.230469,23140.230469,22382.230469,22442.699219,22442.699219,0
1991-01-17,22403.070313,23446.810547,22099.519531,23446.810547,23446.810547,0
1991-01-18,23479.400391,24050.300781,23322.539063,23808.300781,23808.300781,0
1991-01-21,23755.259766,23755.259766,23352.189453,23352.189453,23352.189453,0
1991-01-22,23372.150391,23497.410156,23201.679688,23253.650391,23253.650391,0
1991-01-23,23173.210938,23173.210938,22951.560547,23050.099609,23050.099609,0
1991-01-24,23114.390625,23394.560547,23114.390625,23269.009766,23269.009766,0
1991-01-25,23342.990234,23607.990234,23342.990234,23573.250000,23573.250000,0
1991-01-28,23574.919922,23574.919922,23463.150391,23569.439453,23569.439453,0
1991-01-29,23562.689453,23608.500000,23422.240234,23460.119141,23460.119141,0
1991-01-30,23444.160156,23554.759766,23405.400391,23409.609375,23409.609375,0
1991-01-31,23477.439453,23654.689453,23222.369141,23293.140625,23293.140625,0
1991-02-01,23270.630859,23270.630859,22859.650391,23156.699219,23156.699219,0
1991-02-04,23178.820313,23294.019531,23134.679688,23287.359375,23287.359375,0
1991-02-05,23367.039063,23821.869141,23367.039063,23821.570313,23821.570313,0
1991-02-06,23877.070313,24310.849609,23877.070313,23952.039063,23952.039063,0
1991-02-07,24001.169922,24162.279297,23926.300781,24104.429688,24104.429688,0
1991-02-08,24114.419922,24384.070313,24091.609375,24296.080078,24296.080078,0
1991-02-11,null,null,null,null,null,null
1991-02-12,24333.070313,25074.289063,24333.070313,24935.009766,24935.009766,0
1991-02-13,24932.949219,25225.800781,24881.470703,25139.470703,25139.470703,0
1991-02-14,25184.990234,25406.279297,25184.990234,25356.369141,25356.369141,0
1991-02-15,25321.910156,25344.519531,25010.470703,25343.740234,25343.740234,0
1991-02-18,25378.390625,26230.009766,25378.390625,26230.009766,26230.009766,0
1991-02-19,26243.910156,26481.750000,26051.779297,26166.980469,26166.980469,0
1991-02-20,26153.470703,26340.320313,25836.060547,26198.789063,26198.789063,0
